GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
brokerx-phase1,com.brokerx.application,Authenticate.Response,0,9,0,0,0,1,0,1,0,1
brokerx-phase1,com.brokerx.application,Authenticate.Request,0,18,0,0,0,1,0,1,0,1
brokerx-phase1,com.brokerx.application,DepositFunds,0,86,0,2,0,18,0,3,0,2
brokerx-phase1,com.brokerx.application,DepositFunds.Result,0,9,0,0,0,1,0,1,0,1
brokerx-phase1,com.brokerx.application,PlaceOrder,0,97,2,8,0,25,2,5,0,2
brokerx-phase1,com.brokerx.application,PlaceOrder.Draft,0,24,0,0,0,1,0,1,0,1
brokerx-phase1,com.brokerx.application,PlaceOrder.Ack,0,9,0,0,0,1,0,1,0,1
brokerx-phase1,com.brokerx.application,Authenticate,20,151,4,12,2,34,6,6,2,2
brokerx-phase1,com.brokerx.config,BeanConfig,0,5,0,0,0,2,0,2,0,2
brokerx-phase1,com.brokerx.adapters.persistence.entity,AccountEntity,26,33,0,0,12,12,7,5,7,5
brokerx-phase1,com.brokerx.adapters.persistence.entity,TxJournalEntity,39,40,0,0,17,15,11,5,11,5
brokerx-phase1,com.brokerx.adapters.persistence.entity,AccountCredentialsEntity,15,47,0,0,7,17,4,8,4,8
brokerx-phase1,com.brokerx.adapters.persistence.entity,OrderEntity,65,57,0,0,29,19,18,6,18,6
brokerx-phase1,com.brokerx.adapters.persistence.entity,AccountSessionEntity,34,32,0,0,14,13,10,4,10,4
brokerx-phase1,com.brokerx.adapters.persistence.entity,WalletEntity,15,34,0,0,7,11,4,5,4,5
brokerx-phase1,com.brokerx.adapters.web.support,GlobalExceptionHandler.ApiError,12,0,0,0,1,0,1,0,1,0
brokerx-phase1,com.brokerx.adapters.web.support,GlobalExceptionHandler,87,7,2,0,14,2,7,2,6,2
brokerx-phase1,com.brokerx.adapters.web.support,RequestLoggingFilter,0,44,0,0,0,11,0,3,0,3
brokerx-phase1,com.brokerx,BrokerXApplication,5,3,0,0,2,1,1,1,1,1
brokerx-phase1,com.brokerx.adapters.web,OrderController,0,27,0,0,0,11,0,2,0,2
brokerx-phase1,com.brokerx.adapters.web,AuthController,0,23,0,0,0,5,0,2,0,2
brokerx-phase1,com.brokerx.adapters.web,HealthController,7,3,0,0,1,1,1,1,1,1
brokerx-phase1,com.brokerx.adapters.web,DepositController.DepositDto,0,12,0,0,0,1,0,1,0,1
brokerx-phase1,com.brokerx.adapters.web,AuthController.LoginDto,0,12,0,0,0,1,0,1,0,1
brokerx-phase1,com.brokerx.adapters.web,DepositController,0,16,0,0,0,4,0,2,0,2
brokerx-phase1,com.brokerx.adapters.web,OrderController.PlaceOrderDto,0,24,0,0,0,1,0,1,0,1
